station_id,troncon_id,drainage_area,region_id
050917,,62.78,
050918,,59.61,
051001,SLNO00295,1107,SLNO
120201,,26.6,
050904,SLNO00014,365,SLNO
030225,,1218,
051005,SLNO00321,267,SLNO
051006,SLNO00330,58.8,SLNO
030309,,131,
051008,,121,
051012,,40.4,
051301,SLNO00196,865,SLNO
051305,SLNO00199,632.34,SLNO
051501,,61.6,
051502,SLNO00094,1707,SLNO
052201,SLNO00642,549,SLNO
052202,SLNO00586,1340,SLNO
052203,SLNO00717,1260,SLNO
052204,,0,
052205,,0,
052211,SLNO00586,1340,SLNO
052212,SLNO00717,1263,SLNO
052213,,0,
052214,,355,
052215,,0,
052219,SLNO00586,1286.3,SLNO
052224,,277,
052228,SLNO00616,188,SLNO
052229,SLNO00569,208,SLNO
052230,SLNO00692,319,SLNO
052231,SLNO00815,76.7,SLNO
052232,,58.5,
052233,SLNO00791,632.4,SLNO
052234,,29.4,
051003,,9.1,
052236,SLNO00564,70.3,SLNO
052237,,92.37,
052238,SLNO00573,119.05,SLNO
052240,,78.3,
0522A1,,40.7,
052401,SLNO00830,194,SLNO
052601,SLNO00501,1017,SLNO
052603,,757,
052604,,834,
052606,SLNO00514,205,SLNO
052607,,584,
052801,SLNO00852,1380,SLNO
052802,,1430,
052803,SLNO00865,53.2,SLNO
052804,,53.2,
052805,SLNO00872,769,SLNO
052806,,52.8,
052809,,53.8,
052810,SLNO00851,1419,SLNO
052812,,82.3,
051004,,1.1,
053901,SLNO00344,70.7,SLNO
054001,SLNO00341,23.9,SLNO
054201,,61.4,
060101,SAGU00015,712,SAGU
060102,SAGU00034,433,SAGU
060202,SAGU00072,651,SAGU
060203,,598.5,
060601,SAGU00151,564,SAGU
060602,,606.9,
061602,,576,
060703,,637,
060704,SAGU00184,446,SAGU
060901,SAGU00279,358,SAGU
061001,,3397,
061002,,3397,
080718,,31964,
061008,,0.5,
061012,,3990,
061019,SAGU00324,1110,SAGU
061020,SAGU00324,1115,SAGU
061021,,3390,
061022,SAGU00390,490,SAGU
061023,,3390,
061024,SAGU00297,350,SAGU
061028,SAGU00311,2639,SAGU
051002,,3.8,
061303,,0.3,
061304,,3.2,
