RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
113;SOUS-BASSIN;81.113922;0.012353;3;790;7.900000;-71.28962;46.68198
114;SOUS-BASSIN;59.457626;0.026332;4;59;0.590000;-71.27550;46.69675
115;SOUS-BASSIN;80.459457;0.024992;3;185;1.850000;-71.25232;46.68944
116;SOUS-BASSIN;73.048080;0.021750;6;208;2.080000;-71.25187;46.69625
117;SOUS-BASSIN;93.497437;0.007881;4;195;1.950000;-71.21486;46.69002
118;SOUS-BASSIN;83.518990;0.011761;7;79;0.790000;-71.22775;46.69336
119;SOUS-BASSIN;92.300003;0.008174;5;30;0.300000;-71.20865;46.69756
120;SOUS-BASSIN;88.940598;0.027390;2;101;1.010000;-71.23648;46.67854
121;SOUS-BASSIN;94.617599;0.010058;5;591;5.910000;-71.20903;46.67830
122;SOUS-BASSIN;90.625000;0.024454;8;64;0.640000;-71.24088;46.66957
123;SOUS-BASSIN;90.811882;0.013560;4;101;1.010000;-71.23303;46.66372
124;SOUS-BASSIN;92.261536;0.018394;8;65;0.650000;-71.25165;46.66451
125;SOUS-BASSIN;88.000000;0.013654;3;38;0.380000;-71.24631;46.66099
126;SOUS-BASSIN;94.250000;0.014488;8;48;0.480000;-71.26135;46.65928
127;SOUS-BASSIN;94.270592;0.008918;2;85;0.850000;-71.26233;46.65113
128;SOUS-BASSIN;96.956047;0.008572;2;91;0.910000;-71.26913;46.65275
129;SOUS-BASSIN;101.157394;0.008447;2;629;6.290000;-71.25759;46.63504
130;SOUS-BASSIN;102.789948;0.009285;5;776;7.760000;-71.22609;46.63715
131;SOUS-BASSIN;95.666664;0.007068;2;3;0.030000;-71.24310;46.62996
132;SOUS-BASSIN;101.583336;0.011128;1;48;0.480000;-71.25067;46.62829
