region,station,ecart,n_noeuds,f_lac,bin
outv,40129,-0.3722329388471833,5,0.0,<2 %
outv,40841,-0.24152378918206518,69,0.2753623188405797,>20 %
outv,46404,0.06290075584693988,15,0.0,<2 %
outv,40409,-0.3077127449686296,5,0.0,<2 %
outv,40830,-0.3914517427996653,370,0.11081081081081082,10-20 %
outv,40212,-0.322412128634999,2,0.5,>20 %
outv,40624,-0.18866785666547747,195,0.17435897435897435,10-20 %
outv,40241,-0.30070156419326677,95,0.1368421052631579,10-20 %
sagu,61024,-0.026938830440411232,13,0.0,<2 %
sagu,61901,-0.12301246387693032,277,0.259927797833935,>20 %
sagu,60704,-0.1292475474310525,13,0.0,<2 %
sagu,60102,-0.17952625518244425,30,0.2,10-20 %
sagu,60601,-0.05197345313644908,24,0.16666666666666666,10-20 %
sagu,60901,-0.03824089237325623,9,0.0,<2 %
sagu,62002,-0.9312735611387998,1,0.0,<2 %
sagu,60603,-0.15472184929542726,3,0.0,<2 %
sagu,62102,-0.2360309693870909,116,0.21551724137931033,>20 %
sagu,61801,-0.09023209857710268,69,0.07246376811594203,5-10 %
sagu,61307,0.03401975212605013,10,0.2,10-20 %
sagu,61909,-0.11393238935948136,9,0.1111111111111111,10-20 %
sagu,62114,-0.17458288108556008,177,0.20903954802259886,>20 %
sagu,62701,-0.06162732040487995,78,0.02564102564102564,2-5 %
sagu,61502,-0.08521606696711037,125,0.144,10-20 %
sagu,61028,-0.06708482741190447,113,0.061946902654867256,5-10 %
sagu,61020,-0.13431398890723512,55,0.07272727272727272,5-10 %
sagu,62803,-0.08279182450959344,78,0.0641025641025641,5-10 %
sagu,61022,-0.11780785659495996,25,0.08,5-10 %
sagu,64101,0.01628658601857369,3,0.0,<2 %
slno,52238,-0.30126560488853904,6,0.0,<2 %
slno,50117,-0.3014298167513598,118,0.06779661016949153,5-10 %
slno,50409,-0.23928633197694438,43,0.06976744186046512,5-10 %
slno,52805,-0.347756239637074,43,0.13953488372093023,10-20 %
slno,50135,-0.2886333977704636,101,0.0594059405940594,5-10 %
slno,50119,-0.32080808361897317,80,0.1375,10-20 %
slno,50144,-0.45041799108746305,167,0.17365269461077845,10-20 %
slno,50904,0.000969172368064708,24,0.041666666666666664,2-5 %
slno,52228,-0.6415737575533,12,0.08333333333333333,5-10 %
slno,52233,-0.2061913166207905,30,0.06666666666666667,5-10 %
slno,52212,-0.2881552833273955,73,0.1232876712328767,10-20 %
slno,50304,-0.22451075121932373,257,0.08560311284046693,5-10 %
slno,50801,-0.1920491432791136,87,0.10344827586206896,10-20 %
slno,52606,-0.4761833158430584,11,0.09090909090909091,5-10 %
slno,50702,-0.22738623274545344,15,0.13333333333333333,10-20 %
slno,51001,-0.1437592909981349,45,0.0,<2 %
slno,52401,-0.22006034061117508,11,0.0,<2 %
slno,51005,-0.21163898973305928,11,0.0,<2 %
slno,52219,-0.40290986599414713,103,0.07766990291262135,5-10 %
slno,50915,-0.31882667411121846,4,0.0,<2 %
slno,52601,-0.392994670372929,60,0.13333333333333333,10-20 %
slno,50916,-0.030314453099881344,3,0.0,<2 %
slno,51502,-0.257294302545358,99,0.06060606060606061,5-10 %
slno,51305,-0.3438409777024048,33,0.0,<2 %
slno,54001,0.23130805033875496,3,0.0,<2 %
slno,50408,-0.20390617743602324,98,0.05102040816326531,5-10 %
slno,50812,-0.1102014222759925,10,0.0,<2 %
slso,24016,-0.04649099588933947,1,0.0,<2 %
slso,30215,-0.12640717829808978,67,0.04477611940298507,2-5 %
slso,30282,-0.06569861349927397,103,0.0,<2 %
slso,23402,-0.006822380783405024,555,0.012612612612612612,<2 %
slso,23432,-0.05186755061044146,4,0.0,<2 %
slso,23004,0.1258266901836984,18,0.0,<2 %
slso,24003,-0.00966299214415478,52,0.057692307692307696,5-10 %
slso,23306,-0.028283736419815075,15,0.0,<2 %
slso,23401,-0.033544739678906366,63,0.0,<2 %
slso,30106,0.05566647148791248,12,0.0,<2 %
slso,30242,-0.11949786547876895,35,0.0,<2 %
slso,22601,-0.09753642389517436,11,0.0,<2 %
slso,23450,-0.03725064134241418,7,0.0,<2 %
slso,30299,0.10161687073677139,13,0.0,<2 %
slso,23429,0.0029491028092156757,309,0.019417475728155338,<2 %
slso,23702,0.12933762101204782,11,0.0,<2 %
slso,23303,-0.015273138396230679,110,0.00909090909090909,<2 %
slso,23422,0.12553169415867493,81,0.012345679012345678,<2 %
slso,23428,-0.025071774316405948,94,0.010638297872340425,<2 %
slso,24015,0.10556609055958166,5,0.0,<2 %
slso,23002,0.061952310213023054,3,0.0,<2 %
slso,24004,0.0561185843531401,8,0.0,<2 %
slso,30103,-0.04565087105379517,101,0.0,<2 %
slso,24014,-0.02941835733533682,106,0.02830188679245283,2-5 %
slso,30234,-0.08965868847563285,109,0.0,<2 %
slso,22704,-0.06552319812815544,73,0.0547945205479452,5-10 %
slso,30101,0.011812507748227175,41,0.024390243902439025,2-5 %
slso,23106,-0.029853159413034014,57,0.0,<2 %
slso,23448,-0.016630059944863218,204,0.024509803921568627,2-5 %
slso,30120,0.020021910488178807,75,0.0,<2 %
