region,station,ecart,aire,n_hydro,bin
slno,50119,-0.32080808361897317,1378.989990234375,0,0
slno,50144,-0.45041799108746305,2649.06982421875,0,0
slno,50904,0.000969172368064708,356.79998779296875,0,0
slno,52228,-0.6415737575533,193.60000610351562,0,0
slno,52233,-0.2061913166207905,585.5499877929688,0,0
slno,52212,-0.2881552833273955,1260.169921875,1,1-2
slno,50304,-0.22451075121932373,4514.44970703125,0,0
slno,50801,-0.1920491432791136,1965.93994140625,0,0
slno,52606,-0.4761833158430584,208.34999084472656,0,0
slno,50702,-0.22738623274545344,323.3399658203125,0,0
slno,51001,-0.1437592909981349,1166.760009765625,1,1-2
slno,52401,-0.22006034061117508,200.739990234375,0,0
slno,51005,-0.21163898973305928,271.41998291015625,0,0
slno,52219,-0.40290986599414713,1305.8199462890625,0,0
slno,50915,-0.31882667411121846,51.76000213623047,0,0
slno,52601,-0.392994670372929,1028.7401123046875,0,0
slno,50916,-0.030314453099881344,79.90999603271484,0,0
slno,51502,-0.257294302545358,1712.090087890625,0,0
slno,51305,-0.3438409777024048,673.7400512695312,0,0
slno,54001,0.23130805033875496,26.670000076293945,0,0
slno,50408,-0.20390617743602324,1582.9700927734375,0,0
slno,50812,-0.1102014222759925,95.7699966430664,1,1-2
slso,24016,-0.04649099588933947,49.97999954223633,0,0
slso,30215,-0.12640717829808978,524.1900024414062,1,1-2
slso,30282,-0.06569861349927397,735.6500244140625,0,0
slso,23402,-0.006822380783405024,5805.5703125,0,0
slso,23432,-0.05186755061044146,147.47000122070312,0,0
slso,23004,0.1258266901836984,224.9399871826172,0,0
slso,24003,-0.00966299214415478,923.7799682617188,0,0
slso,23306,-0.028283736419815075,175.0500030517578,0,0
slso,23401,-0.033544739678906366,711.4199829101562,0,0
slso,30106,0.05566647148791248,340.97998046875,0,0
slso,30242,-0.11949786547876895,193.260009765625,0,0
slso,22601,-0.09753642389517436,195.78001403808594,0,0
slso,23450,-0.03725064134241418,91.2300033569336,0,0
slso,30299,0.10161687073677139,256.5400085449219,0,0
slso,23429,0.0029491028092156757,3054.25,0,0
slso,23702,0.12933762101204782,392.4000244140625,0,0
slso,23303,-0.015273138396230679,1140.489990234375,2,1-2
slso,23422,0.12553169415867493,685.8400268554688,0,0
slso,23428,-0.025071774316405948,827.7900390625,0,0
slso,24015,0.10556609055958166,44.369998931884766,0,0
slso,23002,0.061952310213023054,56.55999755859375,0,0
slso,24004,0.0561185843531401,169.02999877929688,0,0
