region,station,troncon,meandre,LN24HA,MG24HA,MG24HI,MG24HK,MG24HQ,MG24HS,ens_med,meilleur_membre
sagu,61502,SAGU00641,0.7395776232456326,0.7633756779612981,0.82495737860154,0.7878138395657026,0.8161191257071893,0.811769360663952,0.7756783410140772,0.8171675820613071,0.82495737860154
sagu,61028,SAGU00311,0.7735989308294655,0.8172418614305916,0.905481389324893,0.8359374393995768,0.9066896270142923,0.9325724153377186,0.9029774346749362,0.9324790870413004,0.9325724153377186
sagu,61020,SAGU00324,0.6419945033315018,0.7840411615349787,0.86793722715135,0.8686645660996346,0.9299539177853767,0.9247396885649166,0.9206977233751595,0.9477408178860314,0.9299539177853767
sagu,62803,SAGU02134,0.7401336264833673,0.7315358946368548,0.7284044277195074,0.7359720807802348,0.7254084751091783,0.7584382177846901,0.7164333510265604,0.7414618721484378,0.7584382177846901
sagu,61022,SAGU00390,0.7158730967580799,0.9177417940340472,0.8751473338201055,0.799372409329454,0.851762451420753,0.9067996675861304,0.9408158232333332,0.8960814666280671,0.9408158232333332
sagu,64101,SAGU00818,0.5503448533444216,0.6338385183553193,0.6486127933178771,0.723927557701189,0.6440012295944342,0.5799368354595344,0.7103873999071346,0.7021026300580937,0.723927557701189
mont,30421,MONT00543,0.6285963409387609,0.7504169310224729,0.7012699007490575,0.6248808705960169,0.7867873866586588,0.6070798846472307,0.5240711424679387,0.7337176481632763,0.7867873866586588
mont,30423,MONT00926,0.6614670460782703,0.6790106112413661,0.6997791222509825,0.6839172262788074,0.749960393515495,0.7240133928458197,0.6186334427187958,0.8035142613784199,0.749960393515495
mont,30924,MONT01486,,,,,,,,,
mont,30345,MONT00048,0.6747993808551398,0.7176103876724751,0.6921372306640199,0.7274965347468072,0.8751635509614469,0.7242051714231605,0.7113122488238548,0.7997409067655847,0.8751635509614469
mont,30356,MONT00071,0.5998704252290419,0.2700863639195952,0.2463163761377365,0.5549976762739381,0.8187104217813396,0.6209093462663067,0.7081991630606888,0.5775850731129484,0.8187104217813396
mont,30424,MONT00924,0.601807571348419,0.8086310267377509,0.8077209063443707,0.6950589645701049,0.8348999577077336,0.73119708669148,0.6339800900818764,0.8307501879789573,0.8348999577077336
mont,30348,MONT00174,0.6352675104801663,0.40165592525249927,0.36863243273813373,0.7196250874961694,0.8383142992236474,0.7611040704933973,0.7369574686507807,0.7230841902017021,0.8383142992236474
mont,30415,MONT01271,0.8216498429583476,0.6374857354649772,0.6392517101183064,0.6516064306161937,0.7581840009892331,0.7008027113333947,0.5060600121816352,0.7466898378954681,0.7581840009892331
mont,30425,MONT00902,0.44924371674541475,0.37015495686579114,0.4440687202930559,0.44828427732401666,0.5863966886693042,0.5915659910242268,0.6286631046569984,0.5247091944622433,0.6286631046569984
mont,30431,MONT00590,0.38341188706646,0.5702548762095492,0.5554261075660676,0.6440228188522816,0.7206843999761889,0.5658829852409601,0.5831061508712918,0.7389666040375449,0.7206843999761889
mont,30315,MONT00087,0.5788546626678943,0.5148073636876841,0.4620694848422364,0.6966331301749447,0.785630634749172,0.6465402361178367,0.6733411721560775,0.7162309322632203,0.785630634749172
mont,30920,MONT01537,0.24329476333985778,0.6406389087434314,0.5931548750907436,0.6021597513889256,0.6369678077997201,0.42556916785325904,0.402098001051158,0.610152133173726,0.6406389087434314
mont,30923,MONT01478,,,,,,,,,
mont,30314,MONT00413,0.2870399465252509,0.3842358810872808,0.3908536313554243,0.41133032866369823,0.5935116041654181,0.5652465265221238,0.7539081423736049,0.5130194211171315,0.7539081423736049
mont,30355,MONT00119,0.5082996015554148,0.4701704744746803,0.43613789493994204,0.6196268014953339,0.7936802782703374,0.6634998911334368,0.7098928089640586,0.6588598365775733,0.7936802782703374
mont,30905,MONT01337,0.6402011218012428,0.802912099445002,0.759029817830371,0.691092585335873,0.7219317137876811,0.5430032366973454,0.6388551348593154,0.7202074991689978,0.802912099445002
mont,30340,MONT00230,0.5155691354406174,0.48078655850028074,0.41326854602798735,0.5487165472109063,0.639054956744401,0.6298704315509718,0.7048051865430022,0.5930338724413002,0.7048051865430022
mont,30353,MONT00314,0.563729797949697,0.7599718795294713,0.7529310354630296,0.760418250629555,0.8252551905848309,0.7836113266701787,0.599433875747138,0.7714333922421784,0.8252551905848309
mont,30420,MONT00932,,,,,,,,,
mont,30907,MONT01470,0.6102371228219352,0.8048197630961678,0.7556702480096613,0.6657394232437313,0.7566665354951083,0.5808657264917096,0.5868986967372531,0.7223521624041007,0.8048197630961678
mont,30921,MONT01496,0.459147734634177,0.7763136328886291,0.7169165457430391,0.6508434115132795,0.7706788676959306,0.6077198196169453,0.6148685153267976,0.7102433560583811,0.7763136328886291
mont,30346,MONT00088,,,,,,,,,
mont,30422,MONT00974,,,,,,,,,
mont,30304,MONT00051,0.6775889381536601,0.6175982162867408,0.580695576688562,0.7135953493508846,0.8289574351199268,0.6884679113720513,0.6523637846247077,0.7523051222216846,0.8289574351199268
mont,30343,MONT00252,0.48510250227057605,0.5744606629500159,0.5457647148641642,0.6514785037098368,0.7736407788338006,0.6908906423006749,0.5937541808452684,0.6339303461422436,0.7736407788338006
mont,30316,MONT00026,0.6593862490644962,0.7384275694561736,0.7020931932753017,0.6150491978000143,0.7400062894510724,0.6124367787454357,0.6566542780109728,0.7121929540405421,0.7400062894510724
mont,30429,MONT01277,0.5554899057890006,0.5355003182854463,0.5243540731181324,0.4644751332087602,0.6148250296162194,0.622027011301469,0.5328373186764812,0.5754559839033615,0.622027011301469
mont,30919,MONT01361,0.6992994543203158,0.7266396363635266,0.7161572327232932,0.686068677836922,0.6986507732429033,0.5599203160119446,0.6747130171172275,0.7314560909261671,0.7266396363635266
slso,24007,SLSO00786,,,,,,,,,
slso,24016,SLSO00828,0.3660131113742394,0.54206954361336,0.5329993227733196,0.5011181984931983,0.6456981687862833,0.6080178708967889,0.44252494088591066,0.5985571155788444,0.6456981687862833
slso,30215,SLSO02154,0.6125593100584139,0.7739003484792863,0.7590596773962193,0.5670544883025528,0.7347482635767141,0.6423410813615176,0.7375231993983653,0.7141954367773753,0.7739003484792863
slso,30282,SLSO01659,0.5969434001619297,0.7507419763035508,0.7489253446222295,0.5574227755552947,0.7910520715576894,0.6796338749171001,0.7151427436199317,0.7121690825275555,0.7910520715576894
slso,23402,SLSO00025,0.7286883206556648,0.747862093571303,0.723017790579797,0.5667432164930912,0.7303118586117447,0.6563375058818973,0.7402320738196155,0.6862752515746876,0.747862093571303
slso,23432,SLSO00633,0.5086907743344455,0.5356229325610711,0.5099026822875299,0.5399657512021814,0.5586474091876541,0.5502718418853971,0.5085696484484934,0.5484420678007302,0.5586474091876541
slso,30262,SLSO01214,,,,,,,,,
slso,23444,SLSO00064,,,,,,,,,
slso,23445,SLSO00635,,,,,,,,,
